object_id,class_id,class_name,min_depth_m,mean_depth_m,median_depth_m,max_depth_m,bbox
crater_0,0,Crater,1.151619,3.949088,4.430598,5.0093694,"(np.int64(460), np.int64(64), np.int64(1275), np.int64(228))"
rock_0,1,Rock,2.0109947,2.0891511,2.0760672,2.3561018,"(np.int64(410), np.int64(79), np.int64(480), np.int64(168))"
rock_1,1,Rock,0.9573142,1.0483627,1.028434,1.2866333,"(np.int64(551), np.int64(310), np.int64(724), np.int64(493))"
rock_3,1,Rock,7.2526956,14.973816,14.960717,19.741066,"(np.int64(334), np.int64(43), np.int64(388), np.int64(83))"
rock_4,1,Rock,10.524416,10.68711,10.693077,11.010693,"(np.int64(172), np.int64(32), np.int64(327), np.int64(93))"
rock_6,1,Rock,8.1173725,16.356752,16.935228,21.249937,"(np.int64(689), np.int64(17), np.int64(722), np.int64(41))"
rock_7,1,Rock,7.2369633,7.5770607,7.548054,12.220659,"(np.int64(649), np.int64(32), np.int64(686), np.int64(55))"
rock_8,1,Rock,9.532114,14.573906,14.697092,23.330349,"(np.int64(510), np.int64(43), np.int64(544), np.int64(63))"
rock_9,1,Rock,2.367807,7.5825596,7.8684907,9.870533,"(np.int64(340), np.int64(107), np.int64(385), np.int64(133))"
rock_10,1,Rock,1.202682,1.2273417,1.2234104,1.4632632,"(np.int64(622), np.int64(242), np.int64(689), np.int64(296))"
rock_11,1,Rock,2.471289,9.607879,10.00374,14.893929,"(np.int64(329), np.int64(75), np.int64(383), np.int64(110))"
rock_12,1,Rock,1.4518015,1.4792347,1.4632632,1.5924773,"(np.int64(641), np.int64(213), np.int64(668), np.int64(231))"
rock_13,1,Rock,2.82972,3.1323862,3.0219564,4.3271594,"(np.int64(474), np.int64(135), np.int64(537), np.int64(166))"
rock_14,1,Rock,7.463624,16.095268,16.6812,23.330349,"(np.int64(552), np.int64(48), np.int64(565), np.int64(59))"
rock_15,1,Rock,8.872979,13.077026,10.974474,23.661276,"(np.int64(855), np.int64(23), np.int64(867), np.int64(31))"
